York Consulting – Information to aid learner decisions – November 2010,,,,,,,
  ,,,,,,,
"Q1 Summary : From the list below, please you can indicate how useful you would find the following information when making a decision about",,,,,,,
which provider and/or which course/programme of study to undertake?,,,,,,,
Base: All respondents,,,,,,,
,SUMMARY,,,,,,
,Description of course/programme (e.g. what subject/topics will be covered),"Location of where the course/programme takes place (e.g. college campus, location of provider)",How to get to the location of the course/programme by car,How to get to the location of the course/programme by public transport,Availability and cost of parking at the provider,The length of the course/programme (e.g. the number of months and years it lasts),The number of weekly hours of teaching on the course/programme
Sig. Level: 95%,a,b,c,d,e,f,g
Sig. Level: 95%,,a,b,c,d,e,f,g,h,i,j,k
Sig. Level: 99%,,A,B,C,D,E,F,G,H,I,J,K
Total,1047,243,252,218,365,295,291,756,243,502,99,203
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
How to get to the location of the course/programme by car,7,2,1,1,3,3,4,3,2,3,1,1
,1%,1%,*%,*%,1%,1%,1%,*%,1%,1%,1%,*%
Whether there would be any other costs of undertaking the course/programme (e.g. field or study trips),7,3,2,1,2,0,3,4,3,2,0,2
,1%,1%,1%,*%,1%,0%,1%,1%,1%,*%,0%,1%
Availability and cost of parking at the provider,6,0,3,1,3,1,3,3,0,3,1,2
,1%,0%,1%,*%,1%,*%,1%,*%,0%,1%,1%,1%
"Columns Tested: A,B,C,D,E - F,G - H,I,J,K",,,,,,,,,,,,
08/11/11                                                                                                                               Page 4,,,,,,,,,,,,
York Consulting – Information to aid learner decisions – November 2010,,,,,,,,,,,,
 ,,,,,,,,,,,,
Q1a : Which did you find the most useful?,,,,,,,,,,,,
Base: All those who said that at least one of the items from the list was useful,,,,,,,,,,,,
,,Parental social grade ,,Ethnicity ,,,,,,Region ,,
,Total,ABC1,C2DE,Asian or Asian British,Black or Black British,Chinese,Mixed,White,Other,North,Midlands,South
Sig. Level: 95%,,a,b,c,d,*e,f,g,*h,i,j,k
Sig. Level: 99%,,A,B,C,D,*E,F,G,*H,I,J,K
Total,1047,611,365,84,50,10,35,832,21,303,298,446
,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Description of course/programme (e.g. what subject/topics will be covered),706,433,224,52,32,8,22,571,14,197,207,302
,67%,71%,61%,62%,64%,80%,63%,69%,67%,65%,69%,68%
,,B,,,,,,,,,,
The entry qualifications/requirements you would need to get on the course/programme,87,58,27,5,4,0,2,73,2,30,24,33
,8%,9%,7%,6%,8%,0%,6%,9%,10%,10%,8%,7%
"Location of where the course/programme takes place (e.g. college campus, location of provider)",56,26,25,5,1,0,5,43,1,16,18,22
,5%,4%,7%,6%,2%,0%,14%,5%,5%,5%,6%,5%
,,,,,,,dg,,,,,
How much it would cost for you to do the course/programme,38,19,16,5,3,0,0,29,0,9,13,16
,4%,3%,4%,6%,6%,0%,0%,3%,0%,3%,4%,4%
How to get to the location of the course/programme by public transport,33,13,19,5,3,0,2,20,1,9,7,17
,3%,2%,5%,6%,6%,0%,6%,2%,5%,3%,2%,4%
,,,A,,,,,,,,,
Whether there would be any financial support available to you to pay for the course/programme,33,10,19,3,1,0,2,27,0,12,8,13
,3%,2%,5%,4%,2%,0%,6%,3%,0%,4%,3%,3%
,,,A,,,,,,,,,
